forecast_date,target,target_end_date,location,type,quantile,value
2021-01-28,1 wk ahead inc death,2021-02-06,56,point,NA,38.88290664282188
2021-01-28,1 wk ahead cum death,2021-02-06,56,point,NA,655.353349602838
2021-01-28,2 wk ahead inc death,2021-02-13,56,point,NA,30.722200314275057
2021-01-28,2 wk ahead cum death,2021-02-13,56,point,NA,686.075549917113
2021-01-28,3 wk ahead inc death,2021-02-20,56,point,NA,22.82850133745547
2021-01-28,3 wk ahead cum death,2021-02-20,56,point,NA,708.9040512545686
2021-01-28,4 wk ahead inc death,2021-02-27,56,point,NA,16.4022493307995
2021-01-28,4 wk ahead cum death,2021-02-27,56,point,NA,725.306300585368
2021-01-28,5 wk ahead inc death,2021-03-06,56,point,NA,11.602145759897041
2021-01-28,5 wk ahead cum death,2021-03-06,56,point,NA,736.9084463452651
2021-01-28,6 wk ahead inc death,2021-03-13,56,point,NA,8.143518288364733
2021-01-28,6 wk ahead cum death,2021-03-13,56,point,NA,745.05196463363
2021-01-28,7 wk ahead inc death,2021-03-20,56,point,NA,5.627695734825279
2021-01-28,7 wk ahead cum death,2021-03-20,56,point,NA,750.6796603684552
2021-01-28,8 wk ahead inc death,2021-03-27,56,point,NA,3.902522485687567
2021-01-28,8 wk ahead cum death,2021-03-27,56,point,NA,754.5821828541427
2021-01-28,1 wk ahead inc death,2021-02-06,56,quantile,0.750,39.34724677116395
2021-01-28,1 wk ahead cum death,2021-02-06,56,quantile,0.750,656.3396453769868
2021-01-28,2 wk ahead inc death,2021-02-13,56,quantile,0.750,30.890791562848708
2021-01-28,2 wk ahead cum death,2021-02-13,56,quantile,0.750,687.2304369398355
2021-01-28,3 wk ahead inc death,2021-02-20,56,quantile,0.750,22.947461090783957
2021-01-28,3 wk ahead cum death,2021-02-20,56,quantile,0.750,710.1778980306195
2021-01-28,4 wk ahead inc death,2021-02-27,56,quantile,0.750,16.492250135170263
2021-01-28,4 wk ahead cum death,2021-02-27,56,quantile,0.750,726.6701481657898
2021-01-28,5 wk ahead inc death,2021-03-06,56,quantile,0.750,11.769506299411324
2021-01-28,5 wk ahead cum death,2021-03-06,56,quantile,0.750,738.439654465201
2021-01-28,6 wk ahead inc death,2021-03-13,56,quantile,0.750,8.261076701475396
2021-01-28,6 wk ahead cum death,2021-03-13,56,quantile,0.750,746.7007311666763
2021-01-28,7 wk ahead inc death,2021-03-20,56,quantile,0.750,5.755125132419154
2021-01-28,7 wk ahead cum death,2021-03-20,56,quantile,0.750,752.4558562990953
2021-01-28,8 wk ahead inc death,2021-03-27,56,quantile,0.750,4.012466509406931
2021-01-28,8 wk ahead cum death,2021-03-27,56,quantile,0.750,756.4683228085023
2021-01-28,1 wk ahead inc death,2021-02-06,56,quantile,0.900,39.505479400518254
2021-01-28,1 wk ahead cum death,2021-02-06,56,quantile,0.900,656.5275512520045
2021-01-28,2 wk ahead inc death,2021-02-13,56,quantile,0.900,30.993523674789294
2021-01-28,2 wk ahead cum death,2021-02-13,56,quantile,0.900,687.5210749267937
2021-01-28,3 wk ahead inc death,2021-02-20,56,quantile,0.900,23.055006576537284
2021-01-28,3 wk ahead cum death,2021-02-20,56,quantile,0.900,710.5760815033309
2021-01-28,4 wk ahead inc death,2021-02-27,56,quantile,0.900,16.545966589750297
2021-01-28,4 wk ahead cum death,2021-02-27,56,quantile,0.900,727.1220480930813
2021-01-28,5 wk ahead inc death,2021-03-06,56,quantile,0.900,11.825226104195522
2021-01-28,5 wk ahead cum death,2021-03-06,56,quantile,0.900,738.9472741972768
2021-01-28,6 wk ahead inc death,2021-03-13,56,quantile,0.900,8.420401160248721
2021-01-28,6 wk ahead cum death,2021-03-13,56,quantile,0.900,747.3676753575255
2021-01-28,7 wk ahead inc death,2021-03-20,56,quantile,0.900,5.901941697575644
2021-01-28,7 wk ahead cum death,2021-03-20,56,quantile,0.900,753.2696170551013
2021-01-28,8 wk ahead inc death,2021-03-27,56,quantile,0.900,4.094894988049678
2021-01-28,8 wk ahead cum death,2021-03-27,56,quantile,0.900,757.3645120431511
2021-01-28,1 wk ahead inc death,2021-02-06,56,quantile,0.975,39.629167530538744
2021-01-28,1 wk ahead cum death,2021-02-06,56,quantile,0.975,656.6536857882488
2021-01-28,2 wk ahead inc death,2021-02-13,56,quantile,0.975,31.088392410490925
2021-01-28,2 wk ahead cum death,2021-02-13,56,quantile,0.975,687.7420781987396
2021-01-28,3 wk ahead inc death,2021-02-20,56,quantile,0.975,23.117977441588582
2021-01-28,3 wk ahead cum death,2021-02-20,56,quantile,0.975,710.860055640328
2021-01-28,4 wk ahead inc death,2021-02-27,56,quantile,0.975,16.587245981492497
2021-01-28,4 wk ahead cum death,2021-02-27,56,quantile,0.975,727.4473016218205
2021-01-28,5 wk ahead inc death,2021-03-06,56,quantile,0.975,11.887445385143012
2021-01-28,5 wk ahead cum death,2021-03-06,56,quantile,0.975,739.3347470069635
2021-01-28,6 wk ahead inc death,2021-03-13,56,quantile,0.975,8.462903849071738
2021-01-28,6 wk ahead cum death,2021-03-13,56,quantile,0.975,747.7976508560353
2021-01-28,7 wk ahead inc death,2021-03-20,56,quantile,0.975,5.930480398252776
2021-01-28,7 wk ahead cum death,2021-03-20,56,quantile,0.975,753.7281312542879
2021-01-28,8 wk ahead inc death,2021-03-27,56,quantile,0.975,4.139777229937825
2021-01-28,8 wk ahead cum death,2021-03-27,56,quantile,0.975,757.8679084842257
2021-01-28,0 day ahead inc hosp,2021-01-28,56,quantile,0.025,12.621815045305429
2021-01-28,1 day ahead inc hosp,2021-01-29,56,quantile,0.025,12.896587214149044
2021-01-28,2 day ahead inc hosp,2021-01-30,56,quantile,0.025,13.046765173668165
2021-01-28,3 day ahead inc hosp,2021-01-31,56,quantile,0.025,13.13153059088486
2021-01-28,4 day ahead inc hosp,2021-02-01,56,quantile,0.025,13.228814390630308
2021-01-28,5 day ahead inc hosp,2021-02-02,56,quantile,0.025,13.254540247213962
2021-01-28,6 day ahead inc hosp,2021-02-03,56,quantile,0.025,12.930380398907838
2021-01-28,7 day ahead inc hosp,2021-02-04,56,quantile,0.025,12.484423351800146
2021-01-28,8 day ahead inc hosp,2021-02-05,56,quantile,0.025,11.848383629379722
2021-01-28,9 day ahead inc hosp,2021-02-06,56,quantile,0.025,11.071231084738088
2021-01-28,10 day ahead inc hosp,2021-02-07,56,quantile,0.025,10.30816784912294
2021-01-28,11 day ahead inc hosp,2021-02-08,56,quantile,0.025,9.544548688641004
2021-01-28,12 day ahead inc hosp,2021-02-09,56,quantile,0.025,8.824492194703547
2021-01-28,13 day ahead inc hosp,2021-02-10,56,quantile,0.025,8.1534285010008
2021-01-28,14 day ahead inc hosp,2021-02-11,56,quantile,0.025,7.531968571785511
2021-01-28,15 day ahead inc hosp,2021-02-12,56,quantile,0.025,6.953718613141535
2021-01-28,16 day ahead inc hosp,2021-02-13,56,quantile,0.025,6.325396199697668
2021-01-28,17 day ahead inc hosp,2021-02-14,56,quantile,0.025,5.690934263556249
2021-01-28,18 day ahead inc hosp,2021-02-15,56,quantile,0.025,5.118429723336299
2021-01-28,19 day ahead inc hosp,2021-02-16,56,quantile,0.025,4.601520904543325
2021-01-28,20 day ahead inc hosp,2021-02-17,56,quantile,0.025,4.133430899990662
2021-01-28,21 day ahead inc hosp,2021-02-18,56,quantile,0.025,3.6956248826063915
2021-01-28,22 day ahead inc hosp,2021-02-19,56,quantile,0.025,3.2900577649387994
2021-01-28,23 day ahead inc hosp,2021-02-20,56,quantile,0.025,2.925222410590834
2021-01-28,24 day ahead inc hosp,2021-02-21,56,quantile,0.025,2.596812689404331
2021-01-28,25 day ahead inc hosp,2021-02-22,56,quantile,0.025,2.301734068089885
2021-01-28,26 day ahead inc hosp,2021-02-23,56,quantile,0.025,2.0344914644825876
2021-01-28,27 day ahead inc hosp,2021-02-24,56,quantile,0.025,1.7918295115631535
2021-01-28,28 day ahead inc hosp,2021-02-25,56,quantile,0.025,1.5753041757112705
2021-01-28,29 day ahead inc hosp,2021-02-26,56,quantile,0.025,1.3832618062597062
2021-01-28,30 day ahead inc hosp,2021-02-27,56,quantile,0.025,1.2134480741885487
2021-01-28,31 day ahead inc hosp,2021-02-28,56,quantile,0.025,1.0631903250886745
2021-01-28,32 day ahead inc hosp,2021-03-01,56,quantile,0.025,0.9300310006711203
2021-01-28,33 day ahead inc hosp,2021-03-02,56,quantile,0.025,0.8124116658179216
2021-01-28,34 day ahead inc hosp,2021-03-03,56,quantile,0.025,0.7089743816291927
2021-01-28,35 day ahead inc hosp,2021-03-04,56,quantile,0.025,0.6183460692485258
2021-01-28,36 day ahead inc hosp,2021-03-05,56,quantile,0.025,0.5390847913457659
2021-01-28,37 day ahead inc hosp,2021-03-06,56,quantile,0.025,0.46964877896052765
2021-01-28,38 day ahead inc hosp,2021-03-07,56,quantile,0.025,0.40825594689189215
2021-01-28,39 day ahead inc hosp,2021-03-08,56,quantile,0.025,0.3529085819667042
2021-01-28,40 day ahead inc hosp,2021-03-09,56,quantile,0.025,0.30333610778804554
2021-01-28,41 day ahead inc hosp,2021-03-10,56,quantile,0.025,0.2607053461194806
2021-01-28,42 day ahead inc hosp,2021-03-11,56,quantile,0.025,0.2245052646809557
2021-01-28,43 day ahead inc hosp,2021-03-12,56,quantile,0.025,0.19378342728145753
2021-01-28,44 day ahead inc hosp,2021-03-13,56,quantile,0.025,0.16761260580674558
2021-01-28,45 day ahead inc hosp,2021-03-14,56,quantile,0.025,0.1452844817725049
2021-01-28,46 day ahead inc hosp,2021-03-15,56,quantile,0.025,0.1262197264461077
2021-01-28,47 day ahead inc hosp,2021-03-16,56,quantile,0.025,0.10991774067889637
2021-01-28,48 day ahead inc hosp,2021-03-17,56,quantile,0.025,0.09592718038403025
2021-01-28,49 day ahead inc hosp,2021-03-18,56,quantile,0.025,0.08390179497750579
2021-01-28,50 day ahead inc hosp,2021-03-19,56,quantile,0.025,0.07360115854841501
2021-01-28,51 day ahead inc hosp,2021-03-20,56,quantile,0.025,0.06475079473769331
2021-01-28,52 day ahead inc hosp,2021-03-21,56,quantile,0.025,0.055856081050913095
2021-01-28,53 day ahead inc hosp,2021-03-22,56,quantile,0.025,0.0482260624264222
2021-01-28,54 day ahead inc hosp,2021-03-23,56,quantile,0.025,0.041727957365840895
